appliedForRegistration,vrn,engineNumber,chassisNumber,sumInsured,coiTypeCode,vehicleColor,regProvinceCode,manufactureYear,keeperName,keeperCNIC,accessoryName,accessoryValue,bodyTypeCode,passengerCapacity,cubicCapacity,modelCode,trackerInstalled,trackerInstalledType,trackerTypeCode,serialNumber,trackerCost,trackerRegisteredOwner
FALSE,AfalseF-9728,ABC-166,BH434259,1858932.389,I.Y.I.S.,1,3,2060.833333,Mr. Alexander Mitchell / 299642,45504-0246512-19,Wheels,0,,,,101115,,,,,,
TRUE,APPFORREGISTRATIO,T691076,EC373250,1872041.356,I.Y.I.S.,1,3,2061.133333,Ms. Sofia Bennett / 335488,42101-0800022-18,Carbofalse,0,,,,101115,,,,,,
FALSE,MAM-5560,ABC-17,XtrueZ-17,1885150.322,I.Y.I.S.,1,3,2061.433333,Mr. Ethan Hayes / 306357,45504-0246512-20,Bumper,0,,,,101115,,,,,,
FALSE,Kfalsetrue-1835,US-12543849,US-12544044,1898259.289,I.Y.I.S.,1,3,2061.733333,Ms. Isabella Turner / 306731,42101-0800022-19,Wheels,0,,,,101115,,,,,,
TRUE,APPFORREGISTRATIO,E487119407,falseE43G119406,1911368.256,I.Y.I.S.,1,3,2062.033333,Mr. Alexander Mitchell / 299643,45504-0246512-21,Carbofalse,0,,,,101115,,,,,,
FALSE,KOR-8966,US125-53383,US12553780,1924477.222,I.Y.I.S.,1,3,2062.333333,Mr. Alexander Mitchell / 299642,45504-0246512-18,Bumper,0,,,,101115,,,,,,
FALSE,AVfalse-662,ZZZ-17,BH266020,1937586.189,I.Y.I.S.,1,3,2062.633333,Ms. Sofia Bennett / 335488,42101-0800022-17,Wheels,0,,,,101115,,,,,,
FALSE,APB-2781,ABC-17,XtrueZ-17,1950695.156,I.Y.I.S.,1,3,2062.933333,Mr. Ethan Hayes / 306357,45504-0246512-19,Carbofalse,0,,,,101115,,,,,,
FALSE,LEQ-14A-1807,S003950,DB003945,1963804.122,I.Y.I.S.,1,3,2063.233333,Ms. Isabella Turner / 306731,42101-0800022-18,Bumper,0,,,,101115,,,,,,
FALSE,AfalseF-9729,ABC-167,BH434260,1976913.089,I.Y.I.S.,1,3,2063.533333,Mr. Alexander Mitchell / 299643,45504-0246512-20,Wheels,0,,,,101115,,,,,,
TRUE,APPFORREGISTRATIO,T691077,EC373251,1990022.056,I.Y.I.S.,1,3,2063.833333,Ms. Sofia Bennett / 335489,42101-0800022-19,Carbofalse,0,,,,101115,,,,,,
FALSE,MAM-5561,ABC-18,XtrueZ-18,2003131.022,I.Y.I.S.,1,3,2064.133333,Mr. Ethan Hayes / 306358,45504-0246512-21,Bumper,0,,,,101115,,,,,,
FALSE,Kfalsetrue-1836,US-12543849,US-12544044,2016239.989,I.Y.I.S.,1,3,2064.433333,Ms. Isabella Turner / 306732,42101-0800022-20,Wheels,0,,,,101115,,,,,,
TRUE,APPFORREGISTRATIO,E487119408,falseE43G119407,2029348.956,I.Y.I.S.,1,3,2064.733333,Mr. Alexander Mitchell / 299644,45504-0246512-22,Carbofalse,0,,,,101115,,,,,,
FALSE,KOR-8967,US125-53384,US12553781,2042457.922,I.Y.I.S.,1,3,2065.033333,Mr. Alexander Mitchell / 299643,45504-0246512-19,Bumper,0,,,,101115,,,,,,
FALSE,AVfalse-663,ZZZ-18,BH266021,2055566.889,I.Y.I.S.,1,3,2065.333333,Ms. Sofia Bennett / 335489,42101-0800022-18,Wheels,0,,,,101115,,,,,,
FALSE,APB-2782,ABC-18,XtrueZ-18,2068675.856,I.Y.I.S.,1,3,2065.633333,Mr. Ethan Hayes / 306358,45504-0246512-20,Carbofalse,0,,,,101115,,,,,,
FALSE,LEQ-14A-1808,S003951,DB003946,2081784.822,I.Y.I.S.,1,3,2065.933333,Ms. Isabella Turner / 306732,42101-0800022-19,Bumper,0,,,,101115,,,,,,
FALSE,AfalseF-9730,ABC-168,BH434261,2094893.789,I.Y.I.S.,1,3,2066.233333,Mr. Alexander Mitchell / 299644,45504-0246512-21,Wheels,0,,,,101115,,,,,,
TRUE,APPFORREGISTRATIO,T691078,EC373252,2108002.756,I.Y.I.S.,1,3,2066.533333,Ms. Sofia Bennett / 335490,42101-0800022-20,Carbofalse,0,,,,101115,,,,,,
FALSE,MAM-5562,ABC-19,XtrueZ-19,2121111.722,I.Y.I.S.,1,3,2066.833333,Mr. Ethan Hayes / 306359,45504-0246512-22,Bumper,0,,,,101115,,,,,,
FALSE,Kfalsetrue-1837,US-12543849,US-12544044,2134220.689,I.Y.I.S.,1,3,2067.133333,Ms. Isabella Turner / 306733,42101-0800022-21,Wheels,0,,,,101115,,,,,,
TRUE,APPFORREGISTRATIO,E487119409,falseE43G119408,2147329.656,I.Y.I.S.,1,3,2067.433333,Mr. Alexander Mitchell / 299645,45504-0246512-23,Carbofalse,0,,,,101115,,,,,,
FALSE,KOR-8968,US125-53385,US12553782,2160438.622,I.Y.I.S.,1,3,2067.733333,Mr. Alexander Mitchell / 299644,45504-0246512-20,Bumper,0,,,,101115,,,,,,
FALSE,AVfalse-664,ZZZ-19,BH266022,2173547.589,I.Y.I.S.,1,3,2068.033333,Ms. Sofia Bennett / 335490,42101-0800022-19,Wheels,0,,,,101115,,,,,,
FALSE,APB-2783,ABC-19,XtrueZ-19,2186656.556,I.Y.I.S.,1,3,2068.333333,Mr. Ethan Hayes / 306359,45504-0246512-21,Carbofalse,0,,,,101115,,,,,,
FALSE,LEQ-14A-1809,S003952,DB003947,2199765.522,I.Y.I.S.,1,3,2068.633333,Ms. Isabella Turner / 306733,42101-0800022-20,Bumper,0,,,,101115,,,,,,
FALSE,AfalseF-9731,ABC-169,BH434262,2212874.489,I.Y.I.S.,1,3,2068.933333,Mr. Alexander Mitchell / 299645,45504-0246512-22,Wheels,0,,,,101115,,,,,,
TRUE,APPFORREGISTRATIO,T691079,EC373253,2225983.456,I.Y.I.S.,1,3,2069.233333,Ms. Sofia Bennett / 335491,42101-0800022-21,Carbofalse,0,,,,101115,,,,,,
FALSE,MAM-5563,ABC-20,XtrueZ-20,2239092.422,I.Y.I.S.,1,3,2069.533333,Mr. Ethan Hayes / 306360,45504-0246512-23,Bumper,0,,,,101115,,,,,,
FALSE,Kfalsetrue-1838,US-12543849,US-12544044,2252201.389,I.Y.I.S.,1,3,2069.833333,Ms. Isabella Turner / 306734,42101-0800022-22,Wheels,0,,,,101115,,,,,,
TRUE,APPFORREGISTRATIO,E487119410,falseE43G119409,2265310.356,I.Y.I.S.,1,3,2070.133333,Mr. Alexander Mitchell / 299646,45504-0246512-24,Carbofalse,0,,,,101115,,,,,,
FALSE,KOR-8969,US125-53386,US12553783,2278419.322,I.Y.I.S.,1,3,2070.433333,Mr. Alexander Mitchell / 299645,45504-0246512-21,Bumper,0,,,,101115,,,,,,
FALSE,AVfalse-665,ZZZ-20,BH266023,2291528.289,I.Y.I.S.,1,3,2070.733333,Ms. Sofia Bennett / 335491,42101-0800022-20,Wheels,0,,,,101115,,,,,,
FALSE,APB-2784,ABC-20,XtrueZ-20,2304637.256,I.Y.I.S.,1,3,2071.033333,Mr. Ethan Hayes / 306360,45504-0246512-22,Carbofalse,0,,,,101115,,,,,,
FALSE,LEQ-14A-1810,S003953,DB003948,2317746.222,I.Y.I.S.,1,3,2071.333333,Ms. Isabella Turner / 306734,42101-0800022-21,Bumper,0,,,,101115,,,,,,
FALSE,AfalseF-9732,ABC-170,BH434263,2330855.189,I.Y.I.S.,1,3,2071.633333,Mr. Alexander Mitchell / 299646,45504-0246512-23,Wheels,0,,,,101115,,,,,,
TRUE,APPFORREGISTRATIO,T691080,EC373254,2343964.156,I.Y.I.S.,1,3,2071.933333,Ms. Sofia Bennett / 335492,42101-0800022-22,Carbofalse,0,,,,101115,,,,,,
FALSE,MAM-5564,ABC-21,XtrueZ-21,2357073.122,I.Y.I.S.,1,3,2072.233333,Mr. Ethan Hayes / 306361,45504-0246512-24,Bumper,0,,,,101115,,,,,,
FALSE,Kfalsetrue-1839,US-12543849,US-12544044,2370182.089,I.Y.I.S.,1,3,2072.533333,Ms. Isabella Turner / 306735,42101-0800022-23,Wheels,0,,,,101115,,,,,,
TRUE,APPFORREGISTRATIO,E487119411,falseE43G119410,2383291.056,I.Y.I.S.,1,3,2072.833333,Mr. Alexander Mitchell / 299647,45504-0246512-25,Carbofalse,0,,,,101115,,,,,,
FALSE,KOR-8970,US125-53387,US12553784,2396400.022,I.Y.I.S.,1,3,2073.133333,Mr. Alexander Mitchell / 299646,45504-0246512-22,Bumper,0,,,,101115,,,,,,
FALSE,AVfalse-666,ZZZ-21,BH266024,2409508.989,I.Y.I.S.,1,3,2073.433333,Ms. Sofia Bennett / 335492,42101-0800022-21,Wheels,0,,,,101115,,,,,,
FALSE,APB-2785,ABC-21,XtrueZ-21,2422617.956,I.Y.I.S.,1,3,2073.733333,Mr. Ethan Hayes / 306361,45504-0246512-23,Carbofalse,0,,,,101115,,,,,,
FALSE,LEQ-14A-1811,S003954,DB003949,2435726.922,I.Y.I.S.,1,3,2074.033333,Ms. Isabella Turner / 306735,42101-0800022-22,Bumper,0,,,,101115,,,,,,
FALSE,AfalseF-9733,ABC-171,BH434264,2448835.889,I.Y.I.S.,1,3,2074.333333,Mr. Alexander Mitchell / 299647,45504-0246512-24,Wheels,0,,,,101115,,,,,,
TRUE,APPFORREGISTRATIO,T691081,EC373255,2461944.856,I.Y.I.S.,1,3,2074.633333,Ms. Sofia Bennett / 335493,42101-0800022-23,Carbofalse,0,,,,101115,,,,,,
FALSE,MAM-5565,ABC-22,XtrueZ-22,2475053.822,I.Y.I.S.,1,3,2074.933333,Mr. Ethan Hayes / 306362,45504-0246512-25,Bumper,0,,,,101115,,,,,,
FALSE,Kfalsetrue-1840,US-12543849,US-12544044,2488162.789,I.Y.I.S.,1,3,2075.233333,Ms. Isabella Turner / 306736,42101-0800022-24,Wheels,0,,,,101115,,,,,,
TRUE,APPFORREGISTRATIO,E487119412,falseE43G119411,2501271.756,I.Y.I.S.,1,3,2075.533333,Mr. Alexander Mitchell / 299648,45504-0246512-26,Carbofalse,0,,,,101115,,,,,,
FALSE,KOR-8971,US125-53388,US12553785,2514380.722,I.Y.I.S.,1,3,2075.833333,Mr. Alexander Mitchell / 299647,45504-0246512-23,Bumper,0,,,,101115,,,,,,
FALSE,AVfalse-667,ZZZ-22,BH266025,2527489.689,I.Y.I.S.,1,3,2076.133333,Ms. Sofia Bennett / 335493,42101-0800022-22,Wheels,0,,,,101115,,,,,,
FALSE,APB-2786,ABC-22,XtrueZ-22,2540598.656,I.Y.I.S.,1,3,2076.433333,Mr. Ethan Hayes / 306362,45504-0246512-24,Carbofalse,0,,,,101115,,,,,,
FALSE,LEQ-14A-1812,S003955,DB003950,2553707.622,I.Y.I.S.,1,3,2076.733333,Ms. Isabella Turner / 306736,42101-0800022-23,Bumper,0,,,,101115,,,,,,
FALSE,AfalseF-9734,ABC-172,BH434265,2566816.589,I.Y.I.S.,1,3,2077.033333,Mr. Alexander Mitchell / 299648,45504-0246512-25,Wheels,0,,,,101115,,,,,,
TRUE,APPFORREGISTRATIO,T691082,EC373256,2579925.556,I.Y.I.S.,1,3,2077.333333,Ms. Sofia Bennett / 335494,42101-0800022-24,Carbofalse,0,,,,101115,,,,,,
FALSE,MAM-5566,ABC-23,XtrueZ-23,2593034.522,I.Y.I.S.,1,3,2077.633333,Mr. Ethan Hayes / 306363,45504-0246512-26,Bumper,0,,,,101115,,,,,,
FALSE,Kfalsetrue-1841,US-12543849,US-12544044,2606143.489,I.Y.I.S.,1,3,2077.933333,Ms. Isabella Turner / 306737,42101-0800022-25,Wheels,0,,,,101115,,,,,,
TRUE,APPFORREGISTRATIO,E487119413,falseE43G119412,2619252.456,I.Y.I.S.,1,3,2078.233333,Mr. Alexander Mitchell / 299649,45504-0246512-27,Carbofalse,0,,,,101115,,,,,,
FALSE,KOR-8972,US125-53389,US12553786,2632361.422,I.Y.I.S.,1,3,2078.533333,Mr. Alexander Mitchell / 299648,45504-0246512-24,Bumper,0,,,,101115,,,,,,
